step,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,algorithm,safety,seed,experiment
4096,-6.034969329833984,,4.389999866485596,FP3O,True,seed_0,FP3O_Safety_True
8192,-24.429136276245117,-3.0213725566864014,13.5600004196167,FP3O,True,seed_0,FP3O_Safety_True
12288,-10.754034042358398,-2.9922125339508057,6.590000152587891,FP3O,True,seed_0,FP3O_Safety_True
16384,-17.46717071533203,-2.976414680480957,9.510000228881836,FP3O,True,seed_0,FP3O_Safety_True
20480,-4.561134338378906,-2.9666049480438232,3.700000047683716,FP3O,True,seed_0,FP3O_Safety_True
4096,-6.034969329833984,,4.389999866485596,FP3O,True,seed_0,FP3O_Safety_True
8192,-21.256113052368164,-3.02064847946167,12.050000190734863,FP3O,True,seed_0,FP3O_Safety_True
12288,-8.237601280212402,-2.9797937870025635,5.21999979019165,FP3O,True,seed_0,FP3O_Safety_True
16384,-6.407412052154541,-2.97261643409729,4.53000020980835,FP3O,True,seed_0,FP3O_Safety_True
20480,-2.88967227935791,-2.800977945327759,2.559999942779541,FP3O,True,seed_0,FP3O_Safety_True
24576,-8.977730751037598,-2.9734857082366943,5.730000019073486,FP3O,True,seed_0,FP3O_Safety_True
28672,-5.595121383666992,-2.872265338897705,4.650000095367432,FP3O,True,seed_0,FP3O_Safety_True
32768,-5.404390335083008,-2.9241130352020264,3.9800000190734863,FP3O,True,seed_0,FP3O_Safety_True
36864,-1.383567452430725,-2.935141086578369,1.6200000047683716,FP3O,True,seed_0,FP3O_Safety_True
40960,-10.59739875793457,-2.915104866027832,5.989999771118164,FP3O,True,seed_0,FP3O_Safety_True
45056,-13.333276748657227,-2.9016222953796387,7.190000057220459,FP3O,True,seed_0,FP3O_Safety_True
49152,-3.0745344161987305,-2.9495484828948975,2.690000057220459,FP3O,True,seed_0,FP3O_Safety_True
53248,-6.402956962585449,-2.951977491378784,4.440000057220459,FP3O,True,seed_0,FP3O_Safety_True
57344,-1.845517873764038,-2.898531436920166,1.9299999475479126,FP3O,True,seed_0,FP3O_Safety_True
61440,-10.196935653686523,-2.9646244049072266,5.849999904632568,FP3O,True,seed_0,FP3O_Safety_True
65536,-10.047138214111328,-2.9122812747955322,6.340000152587891,FP3O,True,seed_0,FP3O_Safety_True
69632,-11.380280494689941,-2.896469831466675,6.960000038146973,FP3O,True,seed_0,FP3O_Safety_True
73728,-5.618885517120361,-2.8792452812194824,4.110000133514404,FP3O,True,seed_0,FP3O_Safety_True
77824,-2.3399457931518555,-2.904550075531006,2.3499999046325684,FP3O,True,seed_0,FP3O_Safety_True
81920,-3.274434804916382,-2.876307249069214,2.869999885559082,FP3O,True,seed_0,FP3O_Safety_True
86016,-7.228046417236328,-2.845252275466919,5.039999961853027,FP3O,True,seed_0,FP3O_Safety_True
90112,-8.694099426269531,-2.8696045875549316,5.75,FP3O,True,seed_0,FP3O_Safety_True
94208,-4.162015914916992,-2.8512001037597656,3.2100000381469727,FP3O,True,seed_0,FP3O_Safety_True
98304,-5.583336353302002,-2.9176745414733887,3.799999952316284,FP3O,True,seed_0,FP3O_Safety_True
102400,-12.61723518371582,-2.9283926486968994,7.25,FP3O,True,seed_0,FP3O_Safety_True
106496,-4.518545150756836,-2.8559958934783936,3.1500000953674316,FP3O,True,seed_0,FP3O_Safety_True
110592,-5.0671706199646,-2.8979713916778564,4.090000152587891,FP3O,True,seed_0,FP3O_Safety_True
114688,-5.302321910858154,-2.9016077518463135,3.990000009536743,FP3O,True,seed_0,FP3O_Safety_True
