step,rollout/ep_rew_mean,train/entropy_loss,entropy,algorithm,condition,safety,seed,experiment,run_id
2048,-235.44222766739975,-3.0048461699954108,3.0048461699954108,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
4054,-224.64891449449934,-2.980963642574035,2.980963642574035,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
6060,-228.65464934445842,-2.955447467972106,2.955447467972106,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
8066,-231.70719678301705,-2.905605565300654,2.905605565300654,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
10072,-221.03085087637618,-2.866668138319337,2.866668138319337,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
12079,-217.9929866589045,-2.8386864788367467,2.8386864788367467,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
14085,-223.9561697519045,-2.8202159593944187,2.8202159593944187,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
16091,-221.48992888503602,-2.782242300679358,2.782242300679358,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
18097,-226.05882330242207,-2.7506643069126944,2.7506643069126944,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
20104,-229.3750765644458,-2.7090344882909325,2.7090344882909325,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
22110,-226.9216219877384,-2.669637293561745,2.669637293561745,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
24116,-238.63554095884214,-2.6586544030772434,2.6586544030772434,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
26122,-246.24506255871756,-2.6536450050133653,2.6536450050133653,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
28128,-244.30254299908037,-2.6296356332347885,2.6296356332347885,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
30135,-244.93980195083256,-2.619854589452875,2.619854589452875,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
32141,-236.52251745183966,-2.6017432304217953,2.6017432304217953,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
34147,-236.56153486990152,-2.5724398740176495,2.5724398740176495,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
36153,-238.85657841448577,-2.5570562440201328,2.5570562440201328,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
38160,-222.83026469062136,-2.555377687648698,2.555377687648698,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
40166,-219.15624427490107,-2.5345318825343064,2.5345318825343064,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
42172,-213.75141679746318,-2.5325389787761137,2.5325389787761137,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
44178,-217.05142844602426,-2.483997428226721,2.483997428226721,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
46184,-213.96240849247496,-2.4775613235204457,2.4775613235204457,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
48191,-207.13951156908928,-2.462883682943586,2.462883682943586,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
50197,-207.66414012344944,-2.4449867933266614,2.4449867933266614,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
52203,-199.33526535235202,-2.4322774655069894,2.4322774655069894,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
54209,-197.02341354052464,-2.3998219891994443,2.3998219891994443,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
56216,-192.96057526916564,-2.3880496003959935,2.3880496003959935,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
